Feature ID,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Feature Type Code,Approval Status,Approval Date,Origin,,,,,
328,Apollonius,Moon,50.66,4.51,60.96,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Apollonius of Perga, Greek mathematician (c. 262-190 B.C.).,,,,
330,Appleton,Moon,64.59,37.05,158.17,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Sir Edward Victor, British physicist, Nobel laureate (1892-1965).,,,
337,Arago,Moon,25.51,6.15,21.43,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Dominique Francois Jean, French astronomer (1786-1853).,,,,
344,Aratus,Moon,10.23,23.58,4.51,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Aratus of Soli, Greek astronomer (c. 310-240/239 B.C.).,,,,
350,Archimedes,Moon,81.04,29.72,-3.99,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,"Greek physicist, mathematician (c. 287-212 B.C.).",,,,,
351,Archytas,Moon,31.95,58.87,4.99,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Greek mathematician (428-347 B.C. ?).,,,,,
363,Argelander,Moon,33.72,-16.55,5.8,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Friedrich Wilhelm August, German astronomer (1799-1875).,,,,
373,Ariadaeus,Moon,10.4,4.55,17.28,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Philip III of Macedonia, chronologer (c. 358-317 B.C.).,,,,
6784,Ariosto,Moon,0,-3.6,95.6,"Planetographic, +East, -180 - 180","Crater, craters",AA,Not Approved,-,Ludovico, Italian writer (1474-1533).,,,,
380,Aristarchus,Moon,39.99,23.73,-47.49,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Greek astronomer (310-230 B.C. ?).,,,,,
381,Aristillus,Moon,54.37,33.88,1.21,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Greek astronomer (fl. c. 280 B.C.).,,,,,
382,Aristoteles,Moon,87.57,50.24,17.32,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,"Greek astronomer, philosopher (383-322 B.C.).",,,,,
385,Arminski,Moon,26.76,-16.36,154.22,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Franciszek, Polish astronomer (1789-1848). (Spelling changed from Armínski.),,,,
386,Armstrong,Moon,4.21,1.35,24.94,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Neil Alden, American astronaut (1930-2012).,,,,
387,Arnold,Moon,93.13,66.98,35.83,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Christoph, German astronomer (1650-1695).,,,,
391,Arrhenius,Moon,40.93,-55.58,-91.45,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Svante August, Swedish chemist, Nobel laureate (1859-1927).,,,
398,Artamonov,Moon,62.45,25.44,103.79,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Nikolaj N., Soviet rocket scientist (1906-1965).,,,,
402,Artem ev,Moon,66.39,10.4,-145.22,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Vladimir Andreevich, Soviet rocket scientist (1885-1962).,,,,
399,Artemis,Moon,2.28,25.03,-25.36,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Greek female first name.,,,,,
405,Artsimovich,Moon,7.96,27.61,-36.63,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1973,Lev Andreevich, Soviet physicist (1909-1973).,,,,
