Feature ID,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Feature Type Code,Approval Status,Approval Date,Origin,,,,,
6781,Anseris Cavus,Mars,35,-29.71,95.5,"Planetocentric, +East, 0 - 360","Cavus, cavi",CB,Dropped,1994,Named for albedo feature Anseris Fons. Same feature as Peraea Cavus.,,,,,
288,Anseris Mons,Mars,52.51,-29.81,86.65,"Planetocentric, +East, 0 - 360","Mons, montes",MO,Approved,1991,From albedo feature Anseris Fons.,,,,,
297,Antoniadi,Mars,400.95,21.38,60.83,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1973,Eugène Michael, Turkish-born French astronomer (1870-1944).,,,,
15090,Aonia Mons,Mars,27.07,-53.33,272.08,"Planetocentric, +East, 0 - 360","Mons, montes",MO,Approved,"Mar 04, 2013",Classical albedo feature name.,,,,,
310,Aonia Planum,Mars,563.45,-57.9,281.33,"Planetocentric, +East, 0 - 360","Planum, plana",PM,Approved,2003,Classical albedo feature name.,,,,,
311,Aonia Terra,Mars,3873.48,-60.2,262.95,"Planetocentric, +East, 0 - 360","Terra, terrae",TA,Approved,1979,Classical albedo feature name.,,,,,
15089,Aonia Tholus,Mars,53.69,-59.04,279.96,"Planetocentric, +East, 0 - 360","Tholus, tholi",TH,Approved,"Mar 04, 2013",Classical albedo feature name.,,,,,
312,Aonium Sinus,Mars,0,-44.66,255,"Planetocentric, +East, 0 - 360",Albedo Feature,AL,Approved,1958,"Named for Aonides, or Muses.",,,,,
319,Apia,Mars,10.06,-37.28,89.02,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1991,Town in Samoa.,,,,,
6782,Apodis Catena,Mars,0,-26.93,103.2,"Planetocentric, +East, 0 - 360","Catena, catenae",CA,Dropped,1991,Classical albedo name.,,,,,
14307,Apollinaris Mons,Mars,275.4,-9.17,174.79,"Planetocentric, +East, 0 - 360","Mons, montes",MO,Approved,"Sep 19, 2007",Classical albedo feature name.,,,,,
323,Apollinaris Patera,Mars,89.6,-8.57,174.18,"Planetocentric, +East, 0 - 360","Patera, paterae",PE,Approved,1973,Classical albedo feature name.,,,,,
324,Apollinaris Sulci,Mars,188.64,-11.06,177.47,"Planetocentric, +East, 0 - 360","Sulcus, sulci",SU,Approved,1985,"Albedo feature at 5S, 187W.",,,,,
325,Apollinaris Tholus,Mars,32.39,-17.64,175.75,"Planetocentric, +East, 0 - 360","Tholus, tholi",TH,Approved,1997,Albedo feature name.,,,,,
15694,Apollo Patera,Mars,24,17.94,226.45,"Planetocentric, +East, 0 - 360","Patera, paterae",PE,Approved,"Oct 16, 2017","Greek god of light, poetry, music and arts, one of the Olympian gods, son of Zeus.",,,,,
332,Apsus Vallis,Mars,121.56,34.91,134.99,"Planetocentric, +East, 0 - 360","Vallis, valles",VA,Approved,1985,"Classical river in ancient Macedonia, present-day Greece.",,,,,
333,Apt,Mars,9.57,39.88,350.53,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1976,Town in France.,,,,,
335,Arabia,Mars,0,19.78,30,"Planetocentric, +East, 0 - 360",Albedo Feature,AL,Approved,1958,Country bordering on Aeria (Egypt).,,,,,
336,Arabia Terra,Mars,4851.74,21.25,5.72,"Planetocentric, +East, 0 - 360","Terra, terrae",TA,Approved,1979,Classical albedo feature name.,,,,,
338,Arago,Mars,152.35,10.22,29.93,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1973,Dominique F., French astronomer (1786-1853).,,,,
15999,Arago Dorsa,Mars,27,9.74,29.39,"Planetocentric, +East, 0 - 360","Dorsum, dorsa",DO,Approved,"Aug 25, 2021",Named for nearby Arago crater, Dominique F., French astronomer (1786-1853).,,,
339,Aram Chaos,Mars,283.81,2.52,337.61,"Planetocentric, +East, 0 - 360","Chaos, chaoses",CH,Approved,1976,Classical albedo feature name.,,,,,
15239,Aram Dorsum,Mars,83.31,7.8,348.76,"Planetocentric, +East, 0 - 360","Dorsum, dorsa",DO,Approved,"Apr 29, 2014",Classical albedo feature name.,,,,,
342,Arandas,Mars,24.76,42.41,344.97,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1976,Town in Mexico.,,,,,
346,Arcadia,Mars,0,44.66,260,"Planetocentric, +East, 0 - 360",Albedo Feature,AL,Approved,1958,Mountainous region in southern Greece.,,,,,
347,Arcadia Dorsa,Mars,1952.65,55.9,222.44,"Planetocentric, +East, 0 - 360","Dorsum, dorsa",DO,Approved,2003,"Named for classical albedo feature at 45N, 120W.",,,,,
348,Arcadia Planitia,Mars,2245,49.02,188.15,"Planetocentric, +East, 0 - 360","Planitia, planitiae",PL,Approved,1973,"From classical albedo feature at 45N, 120W.",,,,,
352,Arda Valles,Mars,173.67,-20.4,327.69,"Planetocentric, +East, 0 - 360","Vallis, valles",VA,Approved,1976,Ancient European river (Bulgaria).,,,,,
356,Arena Colles,Mars,580.12,24.63,82.93,"Planetocentric, +East, 0 - 360","Collis, colles",CO,Approved,1985,"Classical albedo feature at 13N, 294W.",,,,,
357,Arena Dorsum,Mars,372.03,12.71,68.94,"Planetocentric, +East, 0 - 360","Dorsum, dorsa",DO,Approved,1976,Classical albedo feature name.,,,,,
6783,Arena Rupes,Mars,375,13.35,70.5,"Planetocentric, +East, 0 - 360","Rupes, rupēs",RU,Dropped,1976,Name changed in 1982 to Arnus Vallis.,,,,,
358,Ares Vallis,Mars,1757.67,10.29,334.39,"Planetocentric, +East, 0 - 360","Vallis, valles",VA,Approved,1973,Word for 'Mars' in Greek.,,,,,
362,Argas,Mars,3.55,23.33,309.83,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1988,Town in Russia.,,,,,
364,Argentea Planum,Mars,1370.64,-72.49,298.33,"Planetocentric, +East, 0 - 360","Planum, plana",PM,Approved,2003,Classical albedo feature name.,,,,,
369,Argyre,Mars,0,-44.66,335,"Planetocentric, +East, 0 - 360",Albedo Feature,AL,Approved,1958,"“;Silver“; Island at mouth of Ganges River; present-day Arakan, Burma.",,,,,
370,Argyre Cavi,Mars,72.33,-48.31,319.88,"Planetocentric, +East, 0 - 360","Cavus, cavi",CB,Approved,1991,Albedo name.,,,,,
15236,Argyre Mons,Mars,60.58,-50.37,311.91,"Planetocentric, +East, 0 - 360","Mons, montes",MO,Approved,"Feb 18, 2014",Classical albedo feature name.,,,,,
371,Argyre Planitia,Mars,892.93,-49.84,316.69,"Planetocentric, +East, 0 - 360","Planitia, planitiae",PL,Approved,1973,Classical albedo feature name.,,,,,
372,Argyre Rupes,Mars,335.42,-62.15,291.25,"Planetocentric, +East, 0 - 360","Rupes, rupēs",RU,Approved,1973,Classical albedo feature name.,,,,,
375,Ariadnes Colles,Mars,188.01,-34.5,172.78,"Planetocentric, +East, 0 - 360","Collis, colles",CO,Approved,1982,Classical albedo feature name.,,,,,
377,Arica,Mars,15.77,-23.8,110.24,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1991,Town in Colombia.,,,,,
14927,Arima,Mars,53.59,-15.84,296.32,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,"Feb 22, 2012",Town in Trinidad and Tobago.,,,,,
378,Arimanes Rupes,Mars,192.67,-9.84,212.3,"Planetocentric, +East, 0 - 360","Rupes, rupēs",RU,Approved,1985,Albedo feature, classical Persian deity of wickedness.,,,,
384,Arkhangelsky,Mars,116.83,-41.09,335.21,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1979,A.D., Russian geologist.,,,,
388,Arnon,Mars,0,47.66,25,"Planetocentric, +East, 0 - 360",Albedo Feature,AL,Approved,1958,"Classical name for present El-Mojib River, Jordan.",,,,,
389,Arnus Vallis,Mars,311.61,13.97,70.61,"Planetocentric, +East, 0 - 360","Vallis, valles",VA,Approved,1982,"Classical and present day Arno River in Tuscany, Italy (previously named Arena Rupes).",,,,,
390,Aromatum Chaos,Mars,72.8,-1.03,317.03,"Planetocentric, +East, 0 - 360","Chaos, chaoses",CH,Approved,1979,Classical albedo feature name.,,,,,
392,Arrhenius,Mars,122.72,-40.04,122.71,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1973,Svante, Swedish physical chemist (1859-1927).,,,,
393,Arsia Chasmata,Mars,97.06,-7.47,240.65,"Planetocentric, +East, 0 - 360","Chasma, chasmata",CM,Approved,1991,Albedo name.,,,,,
394,Arsia Mons,Mars,470,-8.26,239.91,"Planetocentric, +East, 0 - 360","Mons, montes",MO,Approved,1973,Arsia Silva-classical albedo feature name.,,,,,
395,Arsia Sulci,Mars,500,-6.29,230.19,"Planetocentric, +East, 0 - 360","Sulcus, sulci",SU,Approved,1991,Albedo name.,,,,,
